"","2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2022-01-03_to_2024-11-04_^BSESN"
"2022-10-18",-6.74469406300999,-3.83028719189982
"2022-10-19",-7.19587914062408,-3.59118504752939
"2022-10-20",-6.5222440730275,-3.4350818226671
"2022-10-21",-6.90105154062525,-3.26503925845032
"2022-10-24",-6.22411165109004,-2.40951713221068
"2022-10-25",-6.39939521980979,-2.87878248172562
"2022-10-27",-5.70902303360552,-2.53155392453702
"2022-10-28",-5.72708790286061,-2.2004270418936
"2022-10-31",-4.75053537575491,-0.917187292303601
"2022-11-01",-3.71179983197429,-0.305922163076566
"2022-11-02",-4.08551394933616,-0.657031339669945
"2022-11-03",-4.31292162897453,-0.770689083132237
"2022-11-04",-3.19906132761814,-0.584824789551219
"2022-11-07",-2.86228173095496,-0.201859782023106
"2022-11-09",-3.3116864639957,-0.449128603051341
"2022-11-10",-4.66990004777212,-1.13394208860922
"2022-11-11",-3.30063550575771,0
"2022-11-14",-3.2495602958812,0
"2022-11-15",-3.01106629338725,0
"2022-11-16",-3.60448823835104,0
"2022-11-17",-4.18122889704481,0
"2022-11-18",-4.50862442269662,0
"2022-11-21",-5.28886319651668,0
"2022-11-22",-4.64798560604197,0
"2022-11-23",-4.42350783489951,0
"2022-11-24",-3.72435527801918,0
"2022-11-25",-3.54421947584854,0
"2022-11-28",-3.63793183070513,0
"2022-11-29",-3.23451953524334,0
"2022-11-30",-2.58981899498043,0
"2022-12-01",-2.06013657249828,0
"2022-12-02",-2.38390092380018,-0.656864050707162
"2022-12-05",-2.10992307308059,-0.710422814031864
"2022-12-06",-2.55530554589081,-1.03948142173969
"2022-12-07",-3.33582837567763,-1.38029546257116
"2022-12-08",-3.34593087469086,-1.12747415862148
"2022-12-09",-4.32099970964197,-1.74217015208558
"2022-12-12",-4.34979488998612,-1.8229151080041
"2022-12-13",-3.63361345619403,-1.18653188350283
"2022-12-14",-3.05908053918265,-0.958025715687982
"2022-12-15",-4.28483906529759,-2.34680341998001
"2022-12-16",-4.82939741483124,-3.07562156969542
"2022-12-19",-3.88859051709072,-2.33549688167731
"2022-12-20",-4.45636768932223,-2.49968016244008
"2022-12-21",-5.37448131220168,-3.50316583072476
"2022-12-22",-6.22074081313779,-3.88402503037522
"2022-12-23",-8.18073813065109,-5.43405884711841
"2022-12-26",-7.09398315527459,-4.29454869611019
"2022-12-27",-5.83891911544177,-3.72408754646062
"2022-12-28",-6.0228851269073,-3.75118957127553
"2022-12-29",-5.68155895811854,-3.39786258731005
"2022-12-30",-5.62518339422501,-3.86107528265411
"2023-01-02",-4.83577500259426,-3.34427576805905
"2023-01-03",-4.50988625832002,-3.14452692471137
"2023-01-04",-5.35914654117237,-4.15070596192175
"2023-01-05",-5.62357397075127,-4.63136009145484
"2023-01-06",-6.362873626512,-5.34702001173113
"2023-01-09",-5.52649114565542,-4.00871491886974
"2023-01-10",-6.13871052509452,-5.00711311251699
"2023-01-11",-6.42740984575572,-5.02288054310288
"2023-01-12",-6.48491146630823,-5.25590371505355
"2023-01-13",-6.22560802930296,-4.7768768292464
"2023-01-16",-6.42244691992836,-5.0426786751019
"2023-01-17",-6.27388207944457,-4.1534367387492
"2023-01-18",-5.96279716579722,-3.53714155748547
"2023-01-19",-6.53189486573478,-3.83312222807448
"2023-01-20",-7.16412168672883,-4.20708902182826
"2023-01-23",-6.55717352200116,-3.70158669356047
"2023-01-24",-6.79342168100667,-3.64299656745094
"2023-01-25",-7.78454970854067,-4.8655616123105
"2023-01-27",-8.5490298764682,-6.24688579217967
"2023-01-30",-8.18226341984236,-5.97902651172814
"2023-01-31",-7.31305263769976,-5.90082529312833
"2023-02-01",-8.87488506861627,-5.65087504563764
"2023-02-02",-8.77312255646208,-5.29666897598113
"2023-02-03",-6.48262454928413,-3.85927035139487
"2023-02-06",-6.6723699130625,-4.38860151307481
"2023-02-07",-7.15864487402701,-4.7375985324132
"2023-02-08",-6.64157045036018,-4.14068999622929
"2023-02-09",-6.49068807386977,-3.91562535537507
"2023-02-10",-6.57866210767288,-4.11081043470976
"2023-02-13",-6.76232534796457,-4.5072032655602
"2023-02-14",-6.40078120095782,-3.55843600555433
"2023-02-15",-6.03602320287299,-3.17472445339574
"2023-02-16",-5.96120936178341,-3.10452852576957
"2023-02-17",-6.88459784925988,-3.60535486631912
"2023-02-20",-7.18493787752736,-4.09683858340766
"2023-02-21",-7.37852768486001,-4.12657786529564
"2023-02-22",-8.70437729831793,-5.59256547879122
"2023-02-23",-8.88274288029298,-5.81249588513081
"2023-02-24",-9.17474020937609,-6.03667208831856
"2023-02-27",-9.40647356200557,-6.31411714359248
"2023-02-28",-9.95912436583732,-6.82961673360188
"2023-03-01",-9.21153208073417,-6.12018522896629
"2023-03-02",-9.81858205039858,-6.91299894659348
"2023-03-03",-8.36176615950912,-5.49145192037205
"2023-03-06",-7.83137339428482,-4.83490583682973
"2023-03-08",-7.56906987543023,-4.63954306996176
"2023-03-09",-8.60357506024364,-5.49569771722022
"2023-03-10",-9.20903153749478,-6.55623978764283
"2023-03-13",-10.6592199298946,-7.97409278356685
"2023-03-14",-11.2957895387023,-8.50765103814409
"2023-03-15",-11.4244726051196,-9.05169285718561
"2023-03-16",-10.6236221825891,-8.9269562088139
"2023-03-17",-10.4107249792106,-8.36590314645344
"2023-03-20",-11.0560691771284,-8.93626142437319
"2023-03-21",-10.71227735357,-8.23192674635048
"2023-03-22",-10.3682914125452,-8.01084604703222
"2023-03-23",-10.4361882162635,-8.46800801426888
"2023-03-24",-11.4145984780629,-9.0971995696595
"2023-03-27",-11.3148951865635,-8.89689895976107
"2023-03-28",-11.7143694916213,-8.96032405717124
"2023-03-29",-10.7139024928367,-8.41299969475153
"2023-03-31",-9.92026294396594,-6.7831654716089
"2023-04-03",-9.51742235287603,-6.60156881258342
"2023-04-05",-9.08251819437806,-5.68053951172215
"2023-04-06",-8.61369009890431,-5.45352965997714
"2023-04-10",-8.24188537348177,-5.43212298820305
"2023-04-11",-7.51785024345228,-4.94036806382686
"2023-04-12",-7.54698036325514,-4.56894500739181
"2023-04-13",-7.50077259606343,-4.50853124607218
"2023-04-17",-7.20677068445527,-5.33061664681554
"2023-04-18",-7.33146277294204,-5.62095807621636
"2023-04-19",-7.69303582888251,-5.87253556743298
"2023-04-20",-7.5184669335856,-5.77053357134736
"2023-04-21",-7.70041118208443,-5.73465939357303
"2023-04-24",-7.22402236940959,-5.10094148207114
"2023-04-25",-6.82236384797238,-4.9830411277435
"2023-04-26",-6.63097083920396,-4.71462072876578
"2023-04-27",-5.98690453537996,-4.1634620564171
"2023-04-28",-5.32548648844479,-3.43173544234097
"2023-05-02",-5.2344043400345,-3.04891232784884
"2023-05-03",-5.47543280193397,-3.30396875392783
"2023-05-04",-4.81486094829543,-2.42547223735164
"2023-05-05",-4.97898961660899,-3.52362795297977
"2023-05-08",-3.90885796551838,-2.40176497962018
"2023-05-09",-4.12637497565593,-2.4063848554858
"2023-05-10",-3.96684444353054,-2.12374010186921
"2023-05-11",-3.67509058485193,-2.18011380980028
"2023-05-12",-3.47268073820509,-1.9851625298515
"2023-05-15",-2.99656172009952,-1.48296144891279
"2023-05-16",-3.34506153898382,-2.13595378178925
"2023-05-17",-3.77680543732517,-2.72351034253668
"2023-05-19",-4.39062638288249,-2.45639922012006
"2023-05-22",-3.97597552813218,-2.08663146333727
"2023-05-23",-3.89127980838374,-2.05801441850165
"2023-05-24",-3.55034320960035,-2.38670829916746
"2023-05-25",-3.39308537662276,-2.23052095740287
"2023-05-26",-2.45459819895126,-1.23648078430905
"2023-05-30",-1.3326985874815,-0.497852412360777
"2023-05-31",-1.38024378260605,-1.04599974861891
"2023-06-01",-1.44795819927517,-1.35208055267931
